"","AAL1","AAL2","AAL3","AAL4","AAL5","AAL6","AAL7","AAL8","AAL9","AAL10","AAL11","AAL12","AAL13","AAL14","AAL15","AAL16","AAL17","AAL18","AAL19","AAL20","AAL21","AAL22","AAL23","AAL24","AAL25","AAL26","AAL27","AAL28","AAL29","AAL30","AAL31","AAL32","AAL33","AAL34","AAL35","AAL36","AAL37","AAL38","AAL39","AAL40","AAL41","AAL42","AAL43","AAL44","AAL45","AAL46","AAL47","AAL48","AAL49","AAL50","AAL51","AAL52","AAL53","AAL54","AAL55","AAL56","AAL57","AAL58","AAL59","AAL60","AAL61","AAL62","AAL63","AAL64","AAL65","AAL66","AAL67","AAL68","AAL69","AAL70","AAL71","AAL72","AAL79","AAL80","AAL81","AAL82","AAL83","AAL84","AAL85","AAL86","AAL87","AAL88","AAL89","AAL90","AAL91","AAL92","AAL96","AAL97","AAL98","AAL99","AAL100","AAL111","AAL112"
"AAL1",0.470616577172358,0.412027818221413,0.430342585233295,0.409571189460716,0.429570086798426,0.462350776377993,0.469021174410088,0.423498184588752,0.437086631891985,0.435849891230052,0.462469455278237,0.418943042219131,0.463325640811811,0.414452699098285,0.449585527517519,0.448886179421598,0.454328162906199,0.404970358263139,0.419527658114816,0.462657419380355,0.436007475839587,0.431260637575248,0.405526243070966,0.44258652688455,0.427932748034509,0.41362563882904,0.430474198604417,0.415797894970641,0.445542572923315,0.43601039313193,0.405070430248686,0.410685285588987,0.409734208137164,0.418654588762203,0.432020516544389,0.414025347308831,0.440383107059568,0.4651933890203,0.464662198678303,0.4655345022522,0.446635369929396,0.471202248502935,0.422617049012452,0.448762306210931,0.423140773836623,0.440354529529151,0.450235102824547,0.468753875075848,0.425142675840977,0.432002945739539,0.447662736439036,0.435430869697118,0.4460041003448,0.412492577810756,0.452516340441351,0.445457294824112,0.450625390958567,0.412599683127061,0.432035958911625,0.432958087059227,0.467639998684432,0.422980457610812,0.415866759824558,0.397533056299871,0.467410037550241,0.428619757670703,0.410650992191744,0.418085924766291,0.417968672414414,0.456333660369609,0.406134749770921,0.440881793371098,0.46909668711954,0.381859744605435,0.448671153318309,0.395915629080724,0.443536226957792,0.449534066328875,0.438563162295116,0.399531757621555,0.457306486135583,0.408305340473454,0.426419038063335,0.394584037527313,0.469379874838111,0.421629830031484,0.381456510936666,0.472002706074051,0.45132615027135,0.488101392663942,0.437678987823192,0.378893243009024,0.36868662296161
"AAL2",0.412027818221413,0.465922064731287,0.442201880987718,0.454780996821639,0.43268757776681,0.441215258665936,0.420806351450667,0.464921397360668,0.409870249773204,0.436727661524181,0.419243616705822,0.466157401537162,0.40938036317186,0.46874559934658,0.422310368222873,0.444724224755011,0.429430303266482,0.46511780122267,0.442178645835915,0.399906392419238,0.434871324658597,0.449301920141477,0.434822263151052,0.397577481720356,0.460712470680211,0.412165288561407,0.464936301218248,0.396848188407607,0.432063756769829,0.46615026187543,0.444455979610578,0.391469388311641,0.440048329865402,0.395567779143566,0.460420685234578,0.43202956596367,0.409897590918689,0.422380531125181,0.423168428505671,0.403838019995641,0.421053733505649,0.434484470280519,0.456101739913807,0.414526084036429,0.436703301265076,0.4203761788703,0.440340361522688,0.403791051829663,0.42559677663875,0.462248983983868,0.413915750937213,0.461500096741357,0.397646324864241,0.408305870942316,0.395628308589408,0.416742896070706,0.402787535819813,0.467500737566724,0.429253924090613,0.449430740988735,0.409597391627889,0.467697105453716,0.384220583690718,0.467819736888673,0.415252974609394,0.462216799282863,0.442991348325611,0.391669412638453,0.447666878184169,0.391317990196966,0.438345096997164,0.405570004678424,0.432039103948596,0.46994232390645,0.415109273453969,0.466871302770666,0.398455200082764,0.432113996378886,0.409216748203788,0.469185358535772,0.39042536695751,0.419708542274999,0.380205458188043,0.455397459069025,0.391428355471528,0.436062390662623,0.37907720175432,0.431426426778168,0.394907612059541,0.414796456121284,0.362432955535156,0.465574940090621,0.451289053291391
"AAL3",0.430342585233295,0.442201880987718,0.444694485669853,0.44102409531168,0.436001283532813,0.439782066032748,0.432562464792828,0.439774530125152,0.426229802691335,0.437760684751773,0.42930891620828,0.444061720806666,0.426238075522785,0.445150417077261,0.439196104535721,0.437119348362141,0.433470820112563,0.444645949663328,0.430068229455298,0.429461189843139,0.43622261934954,0.428990076960398,0.424555453883381,0.418137733883587,0.444092451445873,0.400566739295641,0.447371120221467,0.393059800566793,0.436375418535868,0.448196636333107,0.437176726770992,0.395500004252347,0.43696520383608,0.406995572166687,0.443476811600239,0.409761507482457,0.432163543655376,0.436087800929194,0.433291340677112,0.427316613111706,0.43144140684991,0.445125645692585,0.438014424830836,0.420373322313587,0.430576135677197,0.418545203706966,0.439968589580322,0.426080938361985,0.434743775520006,0.448077532891763,0.432317003867879,0.446751192588677,0.430060198795418,0.430488008047217,0.422976587752134,0.437947079860006,0.425788866167616,0.445189400307181,0.439702252315538,0.439282395373396,0.42715907747723,0.446220683883449,0.419712369298318,0.445932618743524,0.431477998894895,0.444573340482463,0.43635034565349,0.401652642298288,0.435760084810982,0.421607128051094,0.439679061684329,0.407700720279371,0.437955014213185,0.443047815811159,0.433723703729248,0.446872740520992,0.42647182858805,0.443775272979244,0.433945614797208,0.448561352059273,0.424580258283805,0.436198715524391,0.423311825617798,0.440654698356282,0.42893632411366,0.436189113292397,0.405573303973375,0.437907692430336,0.420649790938232,0.43370052953014,0.420118858987542,0.432871173788035,0.408221132420429
"AAL4",0.409571189460716,0.454780996821639,0.44102409531168,0.448793624331155,0.429672836342101,0.433089951941336,0.416245339642451,0.451677474176365,0.408958347578212,0.432697427500107,0.414284690343364,0.455708354892903,0.407422886841477,0.457064995213803,0.422816478932998,0.435775661564372,0.422884604924168,0.457454494415031,0.433918581434169,0.403950034400576,0.430700188158895,0.437764872907754,0.428632551944185,0.398180973397098,0.45071001770915,0.402017318017801,0.456199792182323,0.386261081777665,0.428069567888451,0.455598558729459,0.439734479163848,0.386594398400666,0.436875265221498,0.393282871171997,0.44962917462775,0.418097612835672,0.413293331553722,0.420177778378215,0.419426729528134,0.405410838289245,0.418117665095439,0.434231223337813,0.446362017678368,0.40980026963682,0.43037249946235,0.412824202456682,0.435486352977053,0.403077420323807,0.425995496564343,0.454616186751239,0.415423148412924,0.451951266708503,0.40391925374244,0.415454031504573,0.397881493487271,0.419872727582183,0.404216507755782,0.456791654706358,0.430668716528762,0.440696075084238,0.407351013194718,0.457033724849935,0.395150917447978,0.459972479331617,0.412650035262784,0.451513078784276,0.438681405899506,0.388961268844719,0.439437251995162,0.394749500244258,0.435069974512113,0.397522981244276,0.42694421887275,0.462664567037631,0.415835998077597,0.459258279565783,0.404748793277709,0.430931455468374,0.414843884389256,0.461060090710255,0.395039396067883,0.425195543385419,0.393882609874055,0.450201039420834,0.400393791751026,0.433269513176351,0.400243324995758,0.425505042903863,0.396784934708742,0.410973862287742,0.38347855011672,0.453295046931319,0.43731156017183
"AAL5",0.429570086798426,0.43268757776681,0.436001283532813,0.429672836342101,0.430967696351657,0.438042964646715,0.432537760469197,0.432377088856399,0.42085787404224,0.431028118227364,0.428948215792848,0.434291131603477,0.426209612289517,0.435459753357826,0.434052511980337,0.434268097148695,0.431170640029314,0.432911137279821,0.423237342114804,0.429068609279959,0.42846743404001,0.426835889508398,0.416344852398273,0.416187924711855,0.433742743530804,0.401514986077884,0.43826645690265,0.393043628343341,0.431261842185598,0.439779081711243,0.425590849092905,0.394147502295402,0.426874933123573,0.403828068955005,0.43455177821412,0.407491562435775,0.426950407638143,0.434651248741876,0.433124082202708,0.427717047552508,0.426720276422211,0.444754359051193,0.4296885837183,0.420523142337727,0.423001253246318,0.418717523755842,0.435974828269283,0.426810358910473,0.427626540511822,0.439842507983121,0.428253379856615,0.438548448326305,0.425375166601606,0.420037846829764,0.421145105475237,0.432206486508926,0.422646984040181,0.434945364571719,0.431912493012864,0.431463801161692,0.427580922859438,0.437018011841889,0.412230399280478,0.432496877232816,0.430844032578207,0.436203982820587,0.426442543499289,0.399285909308642,0.428482860551585,0.419583353905656,0.425335463102469,0.408973463627427,0.435831876557575,0.428210075669903,0.429601826733903,0.433048023859431,0.422984942575886,0.438028426260109,0.428461280562879,0.435005877780286,0.422859290025217,0.42541331076948,0.4164385199823,0.428508585953651,0.431614103513252,0.428669933224631,0.401570537774751,0.439124000323764,0.419707363293573,0.436820867206749,0.417112086866762,0.416880633099337,0.397540545269724
"AAL6",0.462350776377993,0.441215258665936,0.439782066032748,0.433089951941336,0.438042964646715,0.474735620509564,0.466635247083426,0.454055619679711,0.432753867332023,0.445563505494009,0.461724559920315,0.446671380764227,0.457148171748531,0.444416991232396,0.445388487910348,0.463558297643686,0.459841884292442,0.433652805843709,0.441370017255763,0.447730272215883,0.444443564298584,0.45687342565444,0.425577455559576,0.434385430746763,0.453961195744343,0.430460592558003,0.458384834170373,0.426222884792311,0.452344331670938,0.461696979675175,0.423392329246061,0.415299481969057,0.425136046718963,0.418747680153468,0.456096877422002,0.440024582798661,0.432121112150541,0.460540179140828,0.463650334855684,0.454515136801356,0.447310366967659,0.469309398042068,0.449798134991593,0.451376072914316,0.439441903042317,0.449142301333016,0.460810269779098,0.456989817895735,0.42763993770234,0.453495771272441,0.441822847633273,0.457243656231033,0.4282057541509,0.403471737425594,0.437949573784967,0.438035627447664,0.439768126273569,0.442449571120929,0.433604609864889,0.452182396726582,0.45997530323274,0.45065469309279,0.396212403716396,0.427643151355516,0.462101536678686,0.453882515637326,0.42757832532828,0.417668188994466,0.440975278846147,0.440596687916094,0.419334389611195,0.447939447479079,0.471492397375961,0.413442371821244,0.443235082653048,0.424289337355091,0.428811444629411,0.44901151770793,0.428265723889622,0.428509787774384,0.436454727134766,0.405706322838027,0.401072475801655,0.418095936718979,0.445158625426007,0.435663055557121,0.359373603819805,0.473311414386382,0.439932342344385,0.478292747950567,0.399100036671604,0.424219379026488,0.433831300200227
"AAL7",0.469021174410088,0.420806351450667,0.432562464792828,0.416245339642451,0.432537760469197,0.466635247083426,0.470839488273048,0.433824007096327,0.435840763182863,0.438931073527502,0.46343592167212,0.427528235430447,0.462980773657915,0.423750081783269,0.448304719903504,0.45493525896911,0.457360561244793,0.412682214728983,0.427116485891582,0.459154577468776,0.437918566007062,0.441283479664219,0.412224115927443,0.441282269010809,0.434744046566351,0.421500211725522,0.438701785873712,0.422344515863557,0.447568954239014,0.444281850912399,0.409436828279413,0.414155396589613,0.413988581425047,0.419933551183504,0.439423857486734,0.425253064145473,0.437649579780278,0.464929351223022,0.466367489248352,0.463485374455277,0.446108990211476,0.472235438061008,0.431107091127628,0.452514617130952,0.428268523526185,0.445998044931192,0.454213845305328,0.466728943148161,0.42516202569065,0.438508663919043,0.44608760741871,0.442270489728612,0.440302404851053,0.407698154472348,0.449263540848012,0.442812984123721,0.447986507732127,0.42136433888112,0.431902666088051,0.438743011932277,0.467050074201313,0.431325613998306,0.408492557254952,0.404978352231973,0.46739499716341,0.436081922036027,0.415421080763436,0.419251931862407,0.425179359295828,0.452028797054597,0.407619053010483,0.444661658150403,0.470810567786779,0.389213343867291,0.447114286243762,0.402400674791369,0.439177634363309,0.449256251811141,0.43511912566392,0.406557874815514,0.451378166606377,0.405390544611207,0.417554941385004,0.400410702589534,0.46351818486908,0.424771610151314,0.380102102909692,0.474187771411853,0.448532953356474,0.48766848584429,0.425357775369936,0.392484849593803,0.385649328278426
"AAL8",0.423498184588752,0.464921397360668,0.439774530125152,0.451677474176365,0.432377088856399,0.454055619679711,0.433824007096327,0.471521530453218,0.412124477153101,0.439862087962775,0.430538937041712,0.468848897876353,0.420213694435629,0.468813674100338,0.423652727750986,0.455681604700003,0.438094515804796,0.461596840518698,0.445182960695895,0.404763249733303,0.436247650787022,0.458045190433885,0.434096659227423,0.40226545158887,0.464783242024269,0.422848466295389,0.467920268101811,0.408692392405961,0.437607993979487,0.471394680076151,0.437141660274817,0.397922778253521,0.433448363896134,0.397858203111718,0.466003709567896,0.44151485952597,0.407446918751081,0.433604132649972,0.434947068819618,0.413829057377616,0.424663557392574,0.444325202559005,0.458981980851604,0.428381832067554,0.438859398827884,0.433184972770504,0.446801953091814,0.416041275590661,0.421670548219459,0.465033002185217,0.415608758730739,0.466058719871689,0.394677751396015,0.397405781747388,0.399486365736162,0.415960524704826,0.406956267174637,0.466256717758704,0.42654455984968,0.454394559343962,0.422103920527815,0.469989539250784,0.373331556978098,0.461424145868836,0.426596379655543,0.466778211090216,0.438748666402023,0.396844819747214,0.447666353012705,0.397102302729792,0.428806456937591,0.422726722226525,0.443888684986148,0.459366555149084,0.417201068851549,0.458591147864574,0.39710057205325,0.43441413823952,0.404752237573756,0.461928116448715,0.392922162656379,0.405883713943324,0.36825791168124,0.44597113542236,0.39275123829735,0.434588172448007,0.373194071071338,0.446734541963747,0.399481927458209,0.432445952886619,0.349892975029077,0.457753315868605,0.462061114181993
"AAL9",0.437086631891985,0.409870249773204,0.426229802691335,0.408958347578212,0.42085787404224,0.432753867332023,0.435840763182863,0.412124477153101,0.425076377857216,0.421710301016878,0.432327385206774,0.413620399474863,0.433302026149075,0.412212035758695,0.435696095084607,0.424587024613475,0.430730526342032,0.408819424588139,0.409490681016053,0.437870408084197,0.421347551329745,0.411914621284853,0.40121630882739,0.421007383093687,0.415587641962805,0.390620989329065,0.420141519204158,0.389112629019678,0.426631523516552,0.421707133289516,0.409625487989614,0.391400359067688,0.412425585268268,0.40297633183784,0.416504513604501,0.39512957656113,0.430919890509714,0.436751639486518,0.434762349425952,0.435564320258838,0.427538362204407,0.443367016616408,0.411962129505624,0.419320914321681,0.410451924746399,0.412753425023299,0.429356456440056,0.434670539160803,0.421267697214129,0.422030649129502,0.430994376099949,0.422677861191805,0.433356175178408,0.418735321770627,0.43103758914125,0.434000437248491,0.429410200770036,0.411207337343008,0.426462899450043,0.418179698102063,0.434424744407924,0.415989465412946,0.419873048857526,0.406304810242419,0.436796177736652,0.417865826856362,0.410328223857278,0.39854438507461,0.41146368684883,0.429238377179484,0.41268213311997,0.406577880636542,0.438657807267752,0.399326516856203,0.432487298127503,0.407176633426467,0.429165438931089,0.435367542346555,0.431791150838088,0.409902420613083,0.434916561942172,0.419201590238339,0.427795811351022,0.406282600030494,0.447115049703267,0.416807068308239,0.399463442767561,0.441296890678045,0.428254582566402,0.446966368881316,0.436080357181064,0.382995194582621,0.365640420216296
"AAL10",0.435849891230052,0.436727661524181,0.437760684751773,0.432697427500107,0.431028118227364,0.445563505494009,0.438931073527502,0.439862087962775,0.421710301016878,0.437454577060181,0.435635148621171,0.44040561625652,0.43171567473173,0.439050528190086,0.43571899751062,0.440979192679165,0.437132107724013,0.435494365095367,0.428716985454986,0.430039972973059,0.434514812931501,0.433241946300734,0.419909312843988,0.418476162336577,0.442075081166103,0.407109150294267,0.44647167285675,0.399360061984937,0.436660888073903,0.448029730508946,0.42645193930774,0.397472690761919,0.426339340629829,0.4053520219683,0.441390662041851,0.416126743005391,0.427536919824276,0.438606962801549,0.438482394342428,0.432304331942967,0.430781427927653,0.448767101410157,0.437276981990827,0.425655837584903,0.428350401554005,0.423798795067034,0.442508191297387,0.430790306224052,0.426031146665843,0.446152641383273,0.430387628302886,0.445407174279779,0.424909754708789,0.416143461662094,0.422626693077071,0.431760158406997,0.425301657452912,0.438240098357968,0.432854794522105,0.438068513029651,0.433342707197406,0.442449929819339,0.406241985316571,0.433750577846956,0.43669735774221,0.442998245638599,0.427378513265663,0.402221785796162,0.432147354945455,0.42189452506877,0.425283575233194,0.416304429665066,0.444515583706648,0.427668237140521,0.430947819131923,0.433342287225824,0.42244643126903,0.439254991250239,0.426999491479065,0.435812404345781,0.423309548157849,0.4198842780581,0.411244983377952,0.427591291742521,0.431114966765937,0.429371950278299,0.390684202862299,0.445394296526898,0.420666355445988,0.442673765584228,0.410364984537412,0.424716653678636,0.421798949753907
